country,namePlant,latitude,longitude,primaryfuel
Argentina,CENTRAL LOMA DE LA LATA SA,-38.5127,-68.6048,gas
Argentina,CASSAFFOUSTH,-31.3992,-64.2006,hydro
Argentina,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),-38.9368,-68.3556,other
Argentina,AGUA DEL CAJON (GENERADOR DEL MEM),-38.9368,-68.3556,gas
Argentina,AGUA DEL TORO,-34.5792,-68.9892,hydro
Argentina,ALICURA,-40.58,-70.7489,hydro
Argentina,ALMIRANTE BROWN,-34.8386,-58.4033,oil
Argentina,ALTO VALLE,-38.9524,-68.0218,gas
Argentina,ALUMINE,-39.2145,-70.9157,oil
Argentina,ALVAREZ CONDARCO,-33.0452,-69.0516,hydro
Argentina,ARROYITO,-39.1009,-68.5982,hydro
Argentina,ATUCHA I,-33.967,-59.2059,nuclear
Argentina,ATUCHA II,-33.9674,-59.2045,nuclear
Argentina,BANDERA,-23.8219,-64.7847,oil
Argentina,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,-38.7872,-62.2536,coal
Argentina,BARILOCHE (PUERTO  MORENO),-41.1167,-71.4167,oil
Argentina,BERNARDO  DE IRIGOYEN,-26.2545,-53.6469,oil
Argentina,C.T. RUFINO,-34.2605,-62.7107,oil
Argentina,C.T. SAN VICENTE,-35.0241,-58.4237,oil
Argentina,CAA CATI,-27.7534,-57.6205,oil
Argentina,CABRA CORRAL,-25.2712,-65.3298,hydro
Argentina,CACHEUTA (NUEVA),-33.0291,-69.1109,hydro
Argentina,CACHI,-25.1089,-66.2106,oil
Argentina,CAFAYATE,-26.0715,-65.9876,oil
Argentina,CAPITAL CATAMARCA - PREDIO CHOYA,-28.4537,-65.7841,oil
Argentina,CAPITAL CATAMARCA - PREDIO EX CARCEL,-28.4773,-65.7872,oil
Argentina,CAPITAL CATAMARCA - PREDIO RIPIERA,-28.4684,-65.7797,oil
Argentina,CASA DE PIEDRA,-38.2143,-67.1908,hydro
Argentina,BENJAMIN REOLIN,-32.1883,-64.3233,hydro
Argentina,CT AÑATUYA,-28.4431,-62.8569,oil
Argentina,CT ARRECIFES,-34.0414,-60.1297,oil
Argentina,CT LAS ARMAS,-37.0781,-57.8181,gas
Argentina,CT LAS ARMAS II,-37.0781,-57.8181,gas
Argentina,CT LAS PALMAS,-27.0289,-58.6997,oil
Argentina,CT LIBERTADOR GENERAL SAN MARTIN,-40.8421,-68.0869,oil
Argentina,CT LINCOLN,-34.8578,-61.5206,oil
Argentina,CT LOBOS,-35.1917,-59.0808,oil
