country,source,year,consumptionElectricity,productionElectricity,gdp,population,intensityPerCapita,intensityByGDP,co2emissions
Brazil,coal,1980,62.634,24.478,1305.131,121050.8,32.188,2.985,0.0
Brazil,natural_gas,1980,16.592,16.592,1305.131,121050.8,32.188,2.985,0.0
Brazil,petroleum_n_other_liquids,1980,661.434,118.111,1305.131,121050.8,32.188,2.985,0.0
Brazil,nuclear,1980,0.0,0.0,1305.131,121050.8,32.188,2.985,0.0
Brazil,renewables_n_other,1980,401.252,421.291,1305.131,121050.8,32.188,2.985,0.0
British Virgin Islands,all_energy_types,1980,0.124,0.0,0.0,11.471,36.998,0.0,0.0
British Virgin Islands,coal,1980,0.0,0.0,0.0,11.471,36.998,0.0,0.0
British Virgin Islands,natural_gas,1980,0.0,0.0,0.0,11.471,36.998,0.0,0.0
British Virgin Islands,petroleum_n_other_liquids,1980,0.124,0.0,0.0,11.471,36.998,0.0,0.0
British Virgin Islands,nuclear,1980,0.0,0.0,0.0,11.471,36.998,0.0,0.0
British Virgin Islands,renewables_n_other,1980,0.0,0.0,0.0,11.471,36.998,0.0,0.0
Brunei,all_energy_types,1980,24.127,277.181,0.0,193.88,424.615,0.0,0.0
Brunei,coal,1980,0.0,0.0,0.0,193.88,424.615,0.0,0.0
Brunei,natural_gas,1980,21.347,112.429,0.0,193.88,424.615,0.0,0.0
Brunei,petroleum_n_other_liquids,1980,2.78,164.752,0.0,193.88,424.615,0.0,0.0
Brunei,nuclear,1980,0.0,0.0,0.0,193.88,424.615,0.0,0.0
Brunei,renewables_n_other,1980,0.0,0.0,0.0,193.88,424.615,0.0,0.0
Bulgaria,all_energy_types,1980,392.411,94.874,63.564,8865.312,151.034,21.065,0.0
Bulgaria,coal,1980,110.191,61.811,63.564,8865.312,151.034,21.065,0.0
Bulgaria,natural_gas,1980,49.798,1.245,63.564,8865.312,151.034,21.065,0.0
Bulgaria,petroleum_n_other_liquids,1980,194.956,1.893,63.564,8865.312,151.034,21.065,0.0
Bulgaria,nuclear,1980,18.74,18.74,63.564,8865.312,151.034,21.065,0.0
Bulgaria,renewables_n_other,1980,18.724,11.185,63.564,8865.312,151.034,21.065,0.0
Burkina Faso,all_energy_types,1980,1.769,0.0,0.0,6822.84,0.885,0.0,0.0
Burkina Faso,coal,1980,0.0,0.0,0.0,6822.84,0.885,0.0,0.0
Burkina Faso,natural_gas,1980,0.0,0.0,0.0,6822.84,0.885,0.0,0.0
Burkina Faso,petroleum_n_other_liquids,1980,1.769,0.0,0.0,6822.84,0.885,0.0,0.0
Burkina Faso,nuclear,1980,0.0,0.0,0.0,6822.84,0.885,0.0,0.0
Burkina Faso,renewables_n_other,1980,0.0,0.0,0.0,6822.84,0.885,0.0,0.0
Myanmar,all_energy_types,1980,20.251,25.416,0.0,34224.3,2.019,0.0,0.0
Myanmar,coal,1980,0.282,0.27,0.0,34224.3,2.019,0.0,0.0
Myanmar,natural_gas,1980,3.375,3.375,0.0,34224.3,2.019,0.0,0.0
Myanmar,petroleum_n_other_liquids,1980,14.088,19.372,0.0,34224.3,2.019,0.0,0.0
Myanmar,nuclear,1980,0.0,0.0,0.0,34224.3,2.019,0.0,0.0
Myanmar,renewables_n_other,1980,2.506,2.399,0.0,34224.3,2.019,0.0,0.0
Burundi,all_energy_types,1980,0.467,0.006,0.0,4157.3,0.383,0.0,0.0
Burundi,coal,1980,0.0,0.0,0.0,4157.3,0.383,0.0,0.0
Burundi,natural_gas,1980,0.0,0.0,0.0,4157.3,0.383,0.0,0.0
Burundi,petroleum_n_other_liquids,1980,0.422,0.0,0.0,4157.3,0.383,0.0,0.0
Burundi,nuclear,1980,0.0,0.0,0.0,4157.3,0.383,0.0,0.0
Burundi,renewables_n_other,1980,0.045,0.006,0.0,4157.3,0.383,0.0,0.0
Cape Verde,all_energy_types,1980,1.2,0.0,0.0,283.848,14.424,0.0,0.0
Cape Verde,coal,1980,0.0,0.0,0.0,283.848,14.424,0.0,0.0
Cape Verde,natural_gas,1980,0.0,0.0,0.0,283.848,14.424,0.0,0.0
Cape Verde,petroleum_n_other_liquids,1980,1.2,0.0,0.0,283.848,14.424,0.0,0.0
Cape Verde,nuclear,1980,0.0,0.0,0.0,283.848,14.424,0.0,0.0
Cape Verde,renewables_n_other,1980,0.0,0.0,0.0,283.848,14.424,0.0,0.0
Cambodia,all_energy_types,1980,1.323,0.149,0.0,6693.76,0.674,0.0,0.0
Cambodia,coal,1980,0.0,0.0,0.0,6693.76,0.674,0.0,0.0
Cambodia,natural_gas,1980,0.0,0.0,0.0,6693.76,0.674,0.0,0.0
Cambodia,petroleum_n_other_liquids,1980,1.174,0.0,0.0,6693.76,0.674,0.0,0.0
Cambodia,nuclear,1980,0.0,0.0,0.0,6693.76,0.674,0.0,0.0
Cambodia,renewables_n_other,1980,0.149,0.149,0.0,6693.76,0.674,0.0,0.0
Cameroon,all_energy_types,1980,13.799,41.113,0.0,8621.41,5.461,0.0,0.0
Cameroon,coal,1980,0.0,0.0,0.0,8621.41,5.461,0.0,0.0
Cameroon,natural_gas,1980,0.0,0.0,0.0,8621.41,5.461,0.0,0.0
Cameroon,petroleum_n_other_liquids,1980,9.689,37.003,0.0,8621.41,5.461,0.0,0.0
Cameroon,nuclear,1980,0.0,0.0,0.0,8621.41,5.461,0.0,0.0
Cameroon,renewables_n_other,1980,4.11,4.11,0.0,8621.41,5.461,0.0,0.0
Canada,all_energy_types,1980,2798.515,2975.44,693.884,24515.65,389.505,13.762,0.0
Canada,coal,1980,230.233,227.592,693.884,24515.65,389.505,13.762,0.0
Canada,natural_gas,1980,561.232,822.326,693.884,24515.65,389.505,13.762,0.0
Canada,petroleum_n_other_liquids,1980,1141.837,1035.727,693.884,24515.65,389.505,13.762,0.0
Canada,nuclear,1980,121.894,121.894,693.884,24515.65,389.505,13.762,0.0
Canada,renewables_n_other,1980,743.32,767.901,693.884,24515.65,389.505,13.762,0.0
Cayman Islands,all_energy_types,1980,0.413,0.0,0.0,16.207,87.031,0.0,0.0
Cayman Islands,coal,1980,0.0,0.0,0.0,16.207,87.031,0.0,0.0
Cayman Islands,natural_gas,1980,0.0,0.0,0.0,16.207,87.031,0.0,0.0
Cayman Islands,petroleum_n_other_liquids,1980,0.413,0.0,0.0,16.207,87.031,0.0,0.0
Cayman Islands,nuclear,1980,0.0,0.0,0.0,16.207,87.031,0.0,0.0
Cayman Islands,renewables_n_other,1980,0.0,0.0,0.0,16.207,87.031,0.0,0.0
Central African Republic,all_energy_types,1980,0.804,0.201,0.0,2199.36,1.248,0.0,0.0
Central African Republic,coal,1980,0.0,0.0,0.0,2199.36,1.248,0.0,0.0
Central African Republic,natural_gas,1980,0.0,0.0,0.0,2199.36,1.248,0.0,0.0
Central African Republic,petroleum_n_other_liquids,1980,0.603,0.0,0.0,2199.36,1.248,0.0,0.0
Central African Republic,nuclear,1980,0.0,0.0,0.0,2199.36,1.248,0.0,0.0
Central African Republic,renewables_n_other,1980,0.201,0.201,0.0,2199.36,1.248,0.0,0.0
Chad,all_energy_types,1980,1.208,0.0,0.0,4514.43,0.913,0.0,0.0
Chad,coal,1980,0.0,0.0,0.0,4514.43,0.913,0.0,0.0
Chad,natural_gas,1980,0.0,0.0,0.0,4514.43,0.913,0.0,0.0
Chad,petroleum_n_other_liquids,1980,1.208,0.0,0.0,4514.43,0.913,0.0,0.0
Chad,nuclear,1980,0.0,0.0,0.0,4514.43,0.913,0.0,0.0
Chad,renewables_n_other,1980,0.0,0.0,0.0,4514.43,0.913,0.0,0.0
Chile,all_energy_types,1980,125.195,79.339,81.171,11362.0,37.598,5.263,0.0
Chile,coal,1980,9.819,5.966,81.171,11362.0,37.598,5.263,0.0
Chile,natural_gas,1980,24.911,24.911,81.171,11362.0,37.598,5.263,0.0
Chile,petroleum_n_other_liquids,1980,66.571,25.802,81.171,11362.0,37.598,5.263,0.0
Chile,nuclear,1980,0.0,0.0,81.171,11362.0,37.598,5.263,0.0
Chile,renewables_n_other,1980,23.894,22.66,81.171,11362.0,37.598,5.263,0.0
China,all_energy_types,1980,5599.773,5726.441,684.621,1001920.0,19.071,27.909,0.0
China,coal,1980,4047.195,4047.679,684.621,1001920.0,19.071,27.909,0.0
China,natural_gas,1980,170.348,170.348,684.621,1001920.0,19.071,27.909,0.0
China,petroleum_n_other_liquids,1980,1208.626,1333.0,684.621,1001920.0,19.071,27.909,0.0
China,nuclear,1980,0.0,0.0,684.621,1001920.0,19.071,27.909,0.0
China,renewables_n_other,1980,173.603,175.413,684.621,1001920.0,19.071,27.909,0.0
Colombia,all_energy_types,1980,198.555,193.482,0.0,26900.5,25.185,0.0,0.0
Colombia,coal,1980,26.501,30.905,0.0,26900.5,25.185,0.0,0.0
Colombia,natural_gas,1980,34.817,34.817,0.0,26900.5,25.185,0.0,0.0
Colombia,petroleum_n_other_liquids,1980,93.498,83.516,0.0,26900.5,25.185,0.0,0.0
Colombia,nuclear,1980,0.0,0.0,0.0,26900.5,25.185,0.0,0.0
Colombia,renewables_n_other,1980,43.739,44.244,0.0,26900.5,25.185,0.0,0.0
Comoros,all_energy_types,1980,0.192,0.006,0.0,307.831,2.124,0.0,0.0
Comoros,coal,1980,0.0,0.0,0.0,307.831,2.124,0.0,0.0
Comoros,natural_gas,1980,0.0,0.0,0.0,307.831,2.124,0.0,0.0
Comoros,petroleum_n_other_liquids,1980,0.186,0.0,0.0,307.831,2.124,0.0,0.0
Comoros,nuclear,1980,0.0,0.0,0.0,307.831,2.124,0.0,0.0
Comoros,renewables_n_other,1980,0.006,0.006,0.0,307.831,2.124,0.0,0.0
Cook Islands,all_energy_types,1980,0.123,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,petroleum_n_other_liquids,1980,0.123,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,all_energy_types,1980,16.158,6.387,0.0,2389.97,23.069,0.0,0.0
Costa Rica,coal,1980,0.0,0.0,0.0,2389.97,23.069,0.0,0.0
Costa Rica,natural_gas,1980,0.0,0.0,0.0,2389.97,23.069,0.0,0.0
Costa Rica,petroleum_n_other_liquids,1980,9.771,0.0,0.0,2389.97,23.069,0.0,0.0
Costa Rica,nuclear,1980,0.0,0.0,0.0,2389.97,23.069,0.0,0.0
Costa Rica,renewables_n_other,1980,6.387,6.387,0.0,2389.97,23.069,0.0,0.0
Croatia,all_energy_types,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,petroleum_n_other_liquids,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,all_energy_types,1980,133.394,7.113,0.0,9849.46,46.212,0.0,0.0
Cuba,coal,1980,0.716,0.0,0.0,9849.46,46.212,0.0,0.0
Cuba,natural_gas,1980,0.184,0.184,0.0,9849.46,46.212,0.0,0.0
Cuba,petroleum_n_other_liquids,1980,129.026,3.896,0.0,9849.46,46.212,0.0,0.0
Cuba,nuclear,1980,0.0,0.0,0.0,9849.46,46.212,0.0,0.0
Cuba,renewables_n_other,1980,3.468,3.032,0.0,9849.46,46.212,0.0,0.0
Cyprus,all_energy_types,1980,12.459,0.0,0.0,512.3,82.983,0.0,0.0
Cyprus,coal,1980,0.0,0.0,0.0,512.3,82.983,0.0,0.0
Cyprus,natural_gas,1980,0.0,0.0,0.0,512.3,82.983,0.0,0.0
Cyprus,petroleum_n_other_liquids,1980,12.459,0.0,0.0,512.3,82.983,0.0,0.0
Cyprus,nuclear,1980,0.0,0.0,0.0,512.3,82.983,0.0,0.0
Cyprus,renewables_n_other,1980,0.0,0.0,0.0,512.3,82.983,0.0,0.0
Czechia,all_energy_types,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,coal,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,natural_gas,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,petroleum_n_other_liquids,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,nuclear,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,renewables_n_other,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,all_energy_types,1980,21.429,4.728,0.0,8033.65,9.102,0.0,0.0
Cote d'Ivoire,coal,1980,0.0,0.0,0.0,8033.65,9.102,0.0,0.0
Cote d'Ivoire,natural_gas,1980,0.0,0.0,0.0,8033.65,9.102,0.0,0.0
Cote d'Ivoire,petroleum_n_other_liquids,1980,17.334,0.633,0.0,8033.65,9.102,0.0,0.0
Cote d'Ivoire,nuclear,1980,0.0,0.0,0.0,8033.65,9.102,0.0,0.0
Cote d'Ivoire,renewables_n_other,1980,4.095,4.095,0.0,8033.65,9.102,0.0,0.0
Denmark,all_energy_types,1980,250.903,3.779,151.359,5123.27,167.104,5.656,0.0
Denmark,coal,1980,67.938,0.0,151.359,5123.27,167.104,5.656,0.0
Denmark,natural_gas,1980,0.0,0.0,151.359,5123.27,167.104,5.656,0.0
Denmark,petroleum_n_other_liquids,1980,183.115,3.655,151.359,5123.27,167.104,5.656,0.0
Denmark,nuclear,1980,0.0,0.0,151.359,5123.27,167.104,5.656,0.0
Denmark,renewables_n_other,1980,-0.15,0.125,151.359,5123.27,167.104,5.656,0.0
Djibouti,all_energy_types,1980,6.345,0.0,0.0,358.96,60.316,0.0,0.0
Djibouti,coal,1980,0.0,0.0,0.0,358.96,60.316,0.0,0.0
Djibouti,natural_gas,1980,0.0,0.0,0.0,358.96,60.316,0.0,0.0
