idCountry,idPrimaryFuel,namePlant,latitude,longitude
10,8,Bankstown Sports Club,-33.9197,151.0332
10,13,Bannerton Solar Farm,-34.6899,142.7452
10,4,Barcaldine (Len Wishaw),-23.5525,145.3142
10,13,Barcaldine KDB,-23.549,145.318
10,13,Barcaldine YD,-23.5388,145.2732
10,6,Barron Gorge,-16.8502,145.6465
10,6,Bastyan,-41.736,145.5321
10,2,Bayswater,-32.3953,150.9491
10,15,Belconnen,-35.2142,148.9872
10,4,Bell Bay (Bell Bay Three),-41.1429,146.903
10,6,Bendeela (Shoalhaven Scheme),-34.7337,150.4669
10,4,Berrimah,-12.4262,130.9195
10,15,Berwick,-38.1197,145.2665
10,13,Beryl AU,-32.353,149.468
10,8,Bidyadanga,-18.6816,121.7848
10,17,Blayney Wind Farm,-33.6219,149.1982
10,6,Blowering,-35.3986,148.2463
10,8,Blue Lake Milling Power Plant,-36.3164,140.7575
10,17,Bluff Point (Woolnorth) Wind Farm,-40.7207,144.6869
10,17,Boco Rock,-36.5763,149.1267
10,17,Bodangora Wind Farm,-32.4146,149.0998
10,6,Bogong (Mount Beauty Hydro Scheme),-36.8055,147.228
10,4,Braemar 1,-27.1109,150.9053
10,4,Braemar 2,-27.1128,150.9049
10,8,Bremer Bay Diesel Backup,-34.4018,119.3888
10,4,Brewer,-23.8817,133.8281
10,13,Brisbane BNE,-27.404,153.11
10,15,Broadmeadows,-37.6878,144.9663
10,1,Broadwater,-29.0118,153.4335
10,4,Broken Hill,-31.9863,141.4203
10,13,Broken Hill Solar Plant,-31.9867,141.3915
10,15,Brooklyn,-37.818,144.8319
10,4,Broome,-17.981,122.2046
10,6,Brown Mountain,-36.5951,149.474
10,15,Browns Plains,-27.6721,153.0663
10,4,Bulwer Island,-27.4036,153.1363
10,13,Bungala I,-32.427,137.838
10,13,Bungala II,-32.408,137.841
10,6,Burrendong,-32.6646,149.108
10,6,Burrinjuck Power Station,-35.0025,148.5834
10,4,Burrup Peninsula (Karratha Gas Plant),-20.6286,116.7821
10,4,Burrup Peninsula (Pluto Phase 1),-20.5937,116.7802
10,6,Butlers Gorge,-42.2669,146.2618
10,13,CSIRO Energy Centre,-32.8835,151.7275
10,2,Callide A,-24.334,150.628
10,2,Callide B,-24.3449,150.6197
10,2,Callide C,-24.3449,150.6182
10,4,Camballin,-18.0278,124.1621
10,15,Canning Vale,-32.0739,115.8914
10,4,Cannington Mine,-21.8601,140.9158
10,17,Canunda Wind Farm,-37.7603,140.4033
10,17,Cape Bridgewater Wind Farm,-38.3577,141.385
10,4,Cape Lambert,-20.6488,117.1407
10,17,Cape Nelson North Wind Farm,-38.3676,141.543
10,17,Cape Nelson South Wind Farm,-38.412,141.543
10,4,Cape Preston,-21.0767,116.159
10,17,Cape Sir William Grant Wind Farm,-38.3976,141.6209
10,17,Capital Hill Wind Farm,-35.166,149.5186
10,4,Capral (Aluminium Smelter),-32.7897,151.4813
10,4,Carnarvon,-24.8692,113.6754
10,6,Catagunya,-42.4524,146.5977
10,17,Cathedral Rocks Wind Farm,-34.8509,135.5852
10,4,Cawse Nickel Mine,-30.3808,121.1635
10,6,Cethana,-41.4787,146.1349
10,17,Challicum Hills Wind Farm,-37.3898,143.114
10,4,Channel Island,-12.555,130.8666
10,4,Charlestown Square,-32.9643,151.6936
10,13,Childers,-25.28,152.38
10,8,Christmas Creek Iron Ore Mine,-22.399,119.732
10,13,Clare Solar Farm,-19.8398,147.2105
10,15,Claytons,-37.9502,145.1187
10,17,Clements Gap Wind Farm,-33.5086,138.1192
10,13,Clermont Solar Farm,-22.8446,147.5855
10,8,Cloudbreak,-22.3247,119.404
10,6,Clover,-36.7853,147.2205
10,6,Cluny,-42.5064,146.6812
10,4,Cockburn,-32.2001,115.7737
10,17,Codrington Wind Farm,-38.2835,141.9547
10,17,Collgar Wind Farm,-31.5432,118.4566
10,2,Collie (Bluewaters),-33.331,116.229
10,2,Collie A,-33.3422,116.2612
10,2,Collinsville,-20.5447,147.8049
10,13,Collinsville Solar Farm,-20.5411,147.8074
10,4,Colongra,-33.2099,151.5448
10,4,Condamine A,-26.6682,150.27
10,1,Condong Sugar Mill,-28.3138,153.4341
10,6,Copeton,-29.9102,150.9235
10,8,Coral Bay Diesel Backup,-23.1521,113.7762
10,15,Corio,-38.0587,144.4056
10,17,Crookwell Wind Farm,-34.5165,149.5425
10,17,Crowlands Wind Farm,-37.1216,143.1537
10,17,Cullerin Range Wind Farm,-34.805,149.4001
10,4,Daandine,-27.0863,150.943
10,4,Dampier,-20.648,116.7219
10,4,Darling Downs,-27.1169,150.8942
10,13,Darling Downs Solar Farm,-27.1169,150.8942
10,4,Darlot Gold Mine,-27.8972,121.2698
10,6,Dartmouth (Mount Beauty Hydro Scheme),-36.5564,147.5206
10,13,Darwin DRW,-12.4157,130.8908
10,13,Daydream Solar Farm ,-20.4947,147.7707
10,13,DeGrussa,-25.55,119.317
10,8,Denham Diesel Backup,-25.9167,113.534
10,4,Derby,-17.3141,123.6441
10,6,Devils Gate,-41.3505,146.2632
10,4,Diamantina,-20.7837,139.4833
10,4,Dry Creek,-34.8475,138.5818
10,13,Dubbo,-32.273,148.658
10,15,EarthPower Biomass Plant,-33.8204,151.042
10,15,Eastern Creek,-33.8142,150.8537
10,15,Eastern Creek 2,-33.8125,150.8617
10,6,Eildon,-37.222,145.9215
10,6,Eildon Small Hydro,-37.2431,145.8974
10,8,Elliott,-17.5504,133.5393
10,13,Emerald Solar Farm,-23.5084,148.1347
10,13,Emu Downs,-30.489,115.416
10,17,Emu Downs Wind Farm,-30.4882,115.3768
10,2,Energy Brix,-38.2546,146.4137
10,8,Eraring,-33.0617,151.5223
10,4,Esperance,-33.8762,121.8998
10,17,Esperance Wind Farm Nine Mile Beach,-33.8927,121.7778
10,17,Esperance Wind Farm Ten Mile Lagoon,-33.8802,121.769
10,4,Exmouth,-21.9465,114.125
10,6,Fisher,-41.6732,146.2687
10,4,Fitzroy Crossing,-18.1956,125.5597
10,13,Gannawarra Solar Farm,-35.6762,143.4553
10,4,Geraldton,-28.7701,114.6485
10,4,German Creek,-22.9281,148.5515
10,2,Gladstone,-23.8508,151.2187
10,6,Glenbawn,-32.1097,150.9982
10,4,Glennies Creek,-32.4598,151.1286
10,15,Glenorchy,-42.8415,147.255
10,13,Goondiwindi,-28.325,150.375
10,6,Gordon,-42.7405,145.9828
10,15,Gosnells,-32.0228,116.0129
10,15,Grange Avenue,-33.7029,150.8312
10,17,Grasmere Wind Farm (Albany Stage II),-35.0507,117.7638
10,13,Greenough River Solar Farm,-28.9043,115.1119
10,13,Griffith Solar Farm,-34.3155,146.1094
10,13,Gullen,-34.61,149.476
10,17,Gullen Range Wind Farm,-34.6149,149.4597
10,17,Gunning,-34.6977,149.3861
10,6,Guthega,-36.3501,148.4135
10,15,Hallam Road,-38.0535,145.2699
10,17,Hallet 5 - The Bluff,-33.3855,138.7928
10,4,Hallett,-33.3487,138.7517
10,17,Hallett 1 Brown Hill Wind Farm,-33.3397,138.7323
10,17,Hallett 2 Hallet Hill Wind Farm,-33.5226,138.8552
10,4,Halls Creek,-18.2328,127.6619
10,13,Hamilton Solar Farm,-20.5048,147.7671
10,13,Haughton River Solar Farm,-19.733,147.0483
10,13,Hayman Solar Farm,-20.4877,147.7449
10,2,Hazelwood,-38.2731,146.3923
10,15,Henderson,-32.165,115.8008
10,15,Highbury,-34.849,138.7203
10,15,Hobart,-42.8883,147.2888
10,8,Hopetoun Diesel Backup,-33.905,120.1299
10,17,Hopetoun Wind Turbines,-33.9078,120.1297
10,13,Hughendon,-20.875,144.17
10,6,Hume,-36.1066,147.0326
10,8,Hunter,-32.836,151.4505
10,4,Hunter Valley,-32.3893,150.9664
10,1,Inkerman Sugar Mill,-19.6422,147.4016
10,1,Invicta Sugar Mill,-19.5167,147.1065
10,1,Isis Central Sugar Mill,-25.194,152.2086
10,15,Jacks Gully,-34.0734,150.7427
10,4,Jeeralang A,-38.2753,146.4263
10,4,Jeeralang B,-38.2746,146.4249
10,6,Jindabyne Dam Mini Hydro,-36.4351,148.6333
10,6,John Butters,-42.1548,145.5345
10,6,Jounama,-35.562,148.3055
